ITERATION,F1_SCORE_TRAIN,F1_SCORE_TEST,num_leaves,learning_rate,max_depth,min_child_samples,colsample_bytree,subsample,n_estimators,reg_alpha,reg_lambda,subsample_for_bin
67,1.0,0.9319702099264259,32,0.3558886204959708,7,11,0.36426144476305855,0.35293128985801436,83,0.7905501964676074,0.3930319399320041,31
68,1.0,0.9106382834786608,35,0.7725733475703574,8,11,0.24881628692450683,0.4736840901904728,70,0.8878554888727053,0.45290047056690114,33
69,1.0,0.9219657623468157,31,0.5892906399339585,8,9,0.334438459249853,0.2676471866404188,83,0.7784224943433607,0.38788039851087175,26
70,1.0,0.9179601117361214,28,0.5068953889675898,7,13,0.29824954622767075,0.28547274954360646,73,0.7095373038175791,0.1927406950659355,29
71,1.0,0.9226530048096777,40,0.3632315328727156,9,8,0.3602471352572284,0.23004826017204688,78,0.9747176167860188,0.14118239662899018,31
72,1.0,0.9232932038563902,34,0.11185180709557359,7,6,0.45424752333439444,0.404988541947936,87,0.8085372613838708,0.5025773585192047,35
73,1.0,0.9273032907591936,42,0.2883966544509629,7,18,0.22106444352049914,0.35589904845681436,82,0.7536573223357803,0.6903576877872885,23
74,1.0,0.923317631665663,23,0.31150514252076644,9,20,0.39841907055243514,0.4402091533915649,68,0.9185491499908007,0.42412213428267065,44
75,1.0,0.9232857480080376,45,0.0876244071320087,6,11,0.629566368456285,0.5128095857712349,91,0.4739825070297841,0.23949625402568886,21
76,0.9726653235165946,0.9206500026341107,38,0.02775300957806893,8,10,0.5081231485994515,0.5885825653657228,75,0.6140227898638239,0.2860238977444368,25
77,1.0,0.9273141031268999,29,0.2317753400189051,7,7,0.5409575810622365,0.39526490618215887,99,0.5772863011638144,0.5316313092524996,16
78,0.961331807303201,0.9239692718119729,32,0.03412183086452589,6,14,0.2874477834467618,0.3257413457972473,78,0.687043809974287,0.5730556497405341,23
79,0.9314993308897896,0.907972567281608,25,0.019814761086430592,5,22,0.1395035724138285,0.37050058863435936,64,0.6518831386033939,0.6202686394338048,27
80,1.0,0.9286168937578907,36,0.19194453167979883,6,13,0.41431858691604995,0.19078167885930242,94,0.7991378453788538,0.33678785959366553,31
81,0.9583310555587448,0.9246339481542922,27,0.04738556762205242,4,15,0.3199133595731511,0.11847352733857175,90,0.8411095390902624,0.3843261530628282,37
82,0.9723320075059286,0.9273090165967994,21,0.07683242978244688,5,17,0.25371156058937505,0.15130682541556417,71,0.6347912389948975,0.4791175985113968,20
83,1.0,0.9232917407252451,33,0.4398948547945106,10,24,0.35761351858989715,0.24366719709975493,85,0.8697420282919274,0.5205258780348809,29
84,0.999666666435185,0.9146389195142323,50,0.77594929188946,8,23,0.49206981408474926,0.30363979796160484,80,0.9069853662341345,0.06895917423411879,18
85,0.9879994467217852,0.9253229460787165,41,0.06886674843269741,7,8,0.5600166551746,0.5691052717252676,57,0.9613997082330863,0.11573900674736232,25
86,0.9571647654850167,0.9213102588697588,31,0.15320444016180085,5,10,0.3855687075130782,0.5443295696725811,17,0.7515763608922097,0.28611617157981134,42
87,0.9529981901547755,0.9233146377411169,23,0.11449562256623579,3,19,0.4354405675670626,0.13439273666926027,51,0.9906572288410155,0.4366321933138733,39
88,0.9743328826202011,0.9279715053985349,29,0.03777388615329354,9,9,0.17860085109689622,0.6377764898130146,62,0.5261719826454268,0.4040790925640686,33
89,0.9546633007044927,0.9166222060620146,26,0.0420640061606409,4,5,0.5227662644460153,0.33956964004939244,93,0.4333017333710412,0.16242900748420025,14
90,0.9373262812328924,0.9159684266206503,20,0.08981273011365272,2,28,0.47013552287903104,0.467241953578973,77,0.7070410041196122,0.6227456129685948,27
91,0.9711661873695219,0.9306427311095321,44,0.057023523497956266,7,26,0.12067861160606091,0.4255270823936142,73,0.15105611692948856,0.2279726958099761,31
92,0.9843331365701564,0.931299237293913,46,0.05526396021897268,8,26,0.11938478958285187,0.44580208314774883,87,0.1940858114607656,0.0005983236512491219,31
93,0.965499605656506,0.9233076856341149,48,0.027524731952962365,9,29,0.21408188007536927,0.21488924621231328,98,0.016415997325874343,0.010917294393214316,35
94,0.9779999069429813,0.9313126953402089,16,0.048817253559903816,8,25,0.2014224734375512,0.49654888240404865,89,0.06781873487801732,0.08256957826821643,36
95,0.9504990225007546,0.9212935344624734,46,0.013408471366142597,8,28,0.15143932996424966,0.4471697940245219,86,0.0766327111471678,0.029016512284275126,41
96,1.0,0.9306404549898497,17,0.1724103839298746,10,25,0.1625569061928223,0.49240599208043545,96,0.16726723403341925,0.0459704087620723,38
97,0.9991666653935157,0.919970471573474,5,0.4157914291319932,9,27,0.12514188548670846,0.521516583118686,83,0.25654747610504025,0.10799899459626627,36
98,0.9343308808866031,0.91061060789623,12,0.010313362959728184,8,29,0.20047685267940776,0.6117400378984728,90,0.19049105725633428,0.07190868556966011,44
99,0.9194917012755776,0.9086435982264816,7,0.020255477390283095,10,23,0.11195782085663801,0.5561912641208177,81,0.31328671636635086,0.0019363851174887953,48
100,0.9498326834350923,0.9219461122366688,49,0.008129184104168052,9,24,0.10241635274549936,0.3860356763839132,93,0.0555187184982584,0.2019141319304538,40
